Contract_Title,Contract_Value,Supplier_Name,Award_Date
BK5000 Ultrasound Transducer for Grantham and Lincoln Hospital Theatres,30000.0,GE HEALTHCARE LIMITED,2025-11-24
"Provision of Case Assessment Reports for NCP, Specific Instance Assessment and F",25000.0,MILLS & REEVE LLP,2025-11-24
SSTF1403 - 19/11/25 - AWARD,49418.55,EXECUTIVE PRIVATE HIRE (EPH) LTD T/A CABS4U,2025-11-24
GB-St. Helens: Marketing and Print - Outgoing Mail,2320000.0,CONTINUOUS DATAPRINT (U.K.) LIMITED,2025-11-21
SMAC1407 - 18/11/2025 - AWARD,90816.85,BNACARS LTD,2025-11-21
Engaging members of the public and registrants in implementing regulatory reform,150000.0,COMMUNITY RESEARCH LTD,2025-11-18
Toot Hill School - PCSA (con_29680),4947143.22,BOWMER & KIRKLAND LTD,2025-11-18
CAYL3601 - 14/11/2025 - AWARD,47915.04,GK TRAVEL LTD,2025-11-17
Highway Material Suppliers further competition (against DPS6269),1800000.0,TARMAC TRADING LIMITED (ALSO TRADING AS ABLEMIX),2025-11-17
Highway Material Suppliers further competition (against DPS6269),1800000.0,BRINKLOW QUARRY LIMITED,2025-11-17
Highway Material Suppliers further competition (against DPS6269),1800000.0,HOLCIM UK LIMITED,2025-11-17
CAYL3601 - 14/11/2025 - AWARD,49418.55,GK TRAVEL LTD,2025-11-17
Highway Material Suppliers further competition (against DPS6269),1800000.0,JOHN HUGHES HAULAGE LIMITED,2025-11-17
Highway Material Suppliers further competition (against DPS6269),1800000.0,MIDLAND QUARRY PRODUCTS LIMITED,2025-11-17
Metal Assessments,4754.4,CAESAR'S CONSERVATION,2025-11-16
